"filename", "language", "PHP", "HTML", "Markdown", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\codei4\application\cache\index.html", "HTML", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\codei4\application\config\autoload.php", "PHP", 9, 0, 0, 0, 118, 8, 135
"c:\xampp\htdocs\codei4\application\config\config.php", "PHP", 50, 0, 0, 0, 443, 31, 524
"c:\xampp\htdocs\codei4\application\config\constants.php", "PHP", 25, 0, 0, 0, 56, 5, 86
"c:\xampp\htdocs\codei4\application\config\database.php", "PHP", 25, 0, 0, 0, 69, 3, 97
"c:\xampp\htdocs\codei4\application\config\doctypes.php", "PHP", 23, 0, 0, 0, 0, 2, 25
"c:\xampp\htdocs\codei4\application\config\foreign_chars.php", "PHP", 105, 0, 0, 0, 8, 2, 115
"c:\xampp\htdocs\codei4\application\config\hooks.php", "PHP", 2, 0, 0, 0, 10, 2, 14
"c:\xampp\htdocs\codei4\application\config\index.html", "HTML", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\codei4\application\config\memcached.php", "PHP", 9, 0, 0, 0, 9, 2, 20
"c:\xampp\htdocs\codei4\application\config\migration.php", "PHP", 8, 0, 0, 0, 70, 7, 85
"c:\xampp\htdocs\codei4\application\config\mimes.php", "PHP", 175, 0, 0, 0, 8, 2, 185
"c:\xampp\htdocs\codei4\application\config\profiler.php", "PHP", 2, 0, 0, 0, 11, 2, 15
"c:\xampp\htdocs\codei4\application\config\routes.php", "PHP", 12, 0, 0, 0, 48, 7, 67
"c:\xampp\htdocs\codei4\application\config\smileys.php", "PHP", 47, 0, 0, 0, 13, 5, 65
"c:\xampp\htdocs\codei4\application\config\user_agents.php", "PHP", 176, 0, 0, 0, 30, 11, 217
"c:\xampp\htdocs\codei4\application\controllers\Image_detail.php", "PHP", 146, 0, 0, 0, 3, 28, 177
"c:\xampp\htdocs\codei4\application\controllers\Welcome.php", "PHP", 8, 0, 0, 0, 15, 3, 26
"c:\xampp\htdocs\codei4\application\controllers\index.html", "HTML", 0, 9, 0, 0, 0, 3, 12
